ID,S-7-zip,P-7-zip,S-paq8,P-paq8,S-bsc,P-bsc,S-gzip,P-gzip,S-zstd,P-zstd,S-bzip2,P-bzip2,S-zpaq,P-zpaq,S-cmix,P-cmix
BuEb,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
AgPh,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0
YeMi,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
AeCa,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
HePy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HaHi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EsCo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PlFa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WaMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ScPo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EnIn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DrMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OrSa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DaRe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AnCa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GaGa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HoSa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,0,0,24,6,0,0,0,0,0,0,0,0,0,0,0,0
