_id,dataset_id,compressor,compressor_type,compression_memory,dataset_type,compression_time,compression_cpu_usage,compressed_size,original_size,decompression_cpu_usage,decompression_memory,decompression_time
6815dadc1969d4a304aecae1,AgPh,cmix,standard,0.0,dna,53.0,6.0,10698.0,43970.0,0.0,0.0,51.0
6815dadc1969d4a304aecae2,AgPh,cmix,proposed,1504.0,dna,41.0,4.0,10831.0,43970.0,0.0,0.0,39.0
6815dadc1969d4a304aecae3,YeMi,7-zip,standard,0.0,dna,0.57,0.0,19385.0,73689.0,0.0,244.0,0.27
6815dadc1969d4a304aecae4,YeMi,7-zip,proposed,276.0,dna,0.29,0.0,17538.0,73689.0,0.0,0.0,0.21
6815dadc1969d4a304aecae5,YeMi,paq8px,standard,560.0,dna,16.0,6.0,16661.0,73689.0,6.0,484.0,16.0
6815dadc1969d4a304aecae6,YeMi,paq8px,proposed,276.0,dna,15.0,6.0,16962.0,73689.0,0.0,0.0,14.0
6815dadc1969d4a304aecae7,YeMi,bsc,standard,560.0,dna,0.35,0.0,17450.0,73689.0,0.0,168.0,0.3
6815dadc1969d4a304aecae8,YeMi,bsc,proposed,220.0,dna,0.17,0.0,17712.0,73689.0,0.0,0.0,0.15
6815dadc1969d4a304aecae9,YeMi,gzip,standard,552.0,dna,0.88,0.0,20460.0,73689.0,0.0,72.0,0.28
6815dadc1969d4a304aecaea,YeMi,gzip,proposed,220.0,dna,0.39,0.0,17541.0,73689.0,0.0,0.0,0.22
6815dadc1969d4a304aecaeb,YeMi,zstd,standard,16.0,dna,0.68,0.0,17906.0,73689.0,0.0,848.0,0.27
